fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
0	0.2	20000	0.3833971608363927	0.825	0.8420373952288847
0	0.2	16000	0.35777596254440036	0.8375	0.8371212121212122
0	0.2	12800	0.5342588628972417	0.9	0.9013199245757386
0	0.2	10240	0.49234898059182003	0.8875	0.887806411062225
0	0.2	8192	0.4593720800421406	0.875	0.8755472170106315
0	0.2	6553	0.5342588628972417	0.9	0.9013199245757386
0	0.2	5242	0.49338032235400175	0.8875	0.8877423389618511
0	0.2	4193	0.6106779994288809	0.925	0.9232736572890026
0	0.2	3354	0.4782119006999643	0.8625	0.8565162907268171
0	0.2	2683	0.4848693004771838	0.875	0.8784461152882205
0	0.2	2146	0.5458460172303379	0.9	0.898686679174484
0	0.2	1716	0.45865134897067134	0.875	0.8742964352720449
0	0.2	1372	0.5824325287903829	0.9125	0.9141604010025062
0	0.2	1097	0.5310044064107186	0.9	0.9
0	0.2	877	0.3875271688890742	0.85	0.8459595959595959
0	0.2	701	0.5115622173333586	0.8875	0.8840852130325814
0	0.2	560	0.6144316422477215	0.925	0.9194373401534527
0	0.2	448	0.6155516794407244	0.925	0.924953095684803
0	0.2	358	0.529545970268906	0.9	0.8994343180389692
0	0.2	286	0.49234898059182003	0.8875	0.887806411062225
0	0.2	228	0.6813499335828878	0.925	0.9189189189189189
0	0.2	182	0.5347402534286947	0.9	0.9
0	0.2	145	0.6177855880564641	0.925	0.9271099744245526
0	0.2	116	0.6122280959492014	0.925	0.9238095238095237
0	0.2	92	0.7223612547704223	0.95	0.9500000000000002
0	0.2	73	0.6606473753497333	0.9375	0.9349206349206348
0	0.2	58	0.7610260716417298	0.95	0.95
0	0.2	46	0.45625481716247623	0.875	0.8749218261413383
0	0.2	36	0.3016150389746508	0.8125	0.811868686868687
0	0.2	28	0.07542723931079434	0.6625	0.6596480201131364
0	0.2	22	0.014713376105015791	0.575	0.5707102451288497
0	0.2	17	0.011310302366201055	0.5625	0.5625
0	0.2	13	0.04670396085558795	0.625	0.6260162601626017
0	0.2	10	0.0782350281268543	0.6625	0.6634192331866751
0	0.2	8	0.11015703291317401	0.6875	0.6937340153452686
0	0.2	6	0.02891228467030152	0.6	0.5997498436522828
0	0.2	4	0.007146985756499787	0.55	0.549718574108818
0	0.2	3	0.02612875058551998	0.5875	0.5906816760475297
0	0.2	2	0.0025540306095662335	0.5125	0.53
0	0.2	1	0.040424091233099625	0.5875	0.6128304319793682
1	0.2	20000	0.58155339354956	0.9125	0.9154040404040403
1	0.2	16000	0.7187302635225151	0.95	0.946031746031746
1	0.2	12800	0.6780232380036869	0.9375	0.9365228267667293
1	0.2	10240	0.8047039601840456	0.9625	0.9666666666666667
1	0.2	8192	0.6773223597967153	0.9375	0.9354636591478697
1	0.2	6553	0.5347402534286947	0.9	0.9010025062656641
1	0.2	5242	0.6591367409540075	0.9375	0.9341432225063938
1	0.2	4193	0.36312705744064344	0.8375	0.8396464646464648
1	0.2	3354	0.5666187185507155	0.9125	0.9085677749360614
1	0.2	2683	0.4848693004771838	0.875	0.8784461152882205
1	0.2	2146	0.5349004085725142	0.9	0.900562851782364
1	0.2	1716	0.7134975984052018	0.95	0.9499687304565353
1	0.2	1372	0.8051334942613135	0.9625	0.9615384615384616
1	0.2	1097	0.6813499335828878	0.925	0.9189189189189189
1	0.2	877	0.7605962124328551	0.95	0.9555555555555555
1	0.2	701	0.5806690707171202	0.9125	0.9158730158730158
1	0.2	560	0.6628791082314432	0.9375	0.9362036455059709
1	0.2	448	0.8047039601840456	0.9625	0.9605263157894737
1	0.2	358	0.6155516794407244	0.925	0.924953095684803
1	0.2	286	0.5138966804862761	0.8875	0.8936507936507937
1	0.2	228	0.6618922357187826	0.9375	0.9356060606060607
1	0.2	182	0.49919792463484763	0.8875	0.8901515151515151
1	0.2	145	0.7704717131073334	0.9625	0.9608585858585859
1	0.2	116	0.5730247272905592	0.9125	0.9127579737335835
1	0.2	92	0.6199770864278771	0.925	0.9235588972431078
1	0.2	73	0.8553368391532445	0.975	0.9772727272727273
1	0.2	58	0.6206548097997153	0.925	0.9243277048155096
1	0.2	46	0.6122280959492014	0.925	0.9238095238095237
1	0.2	36	0.6162584439311571	0.925	0.9206349206349206
1	0.2	28	0.5290360503292428	0.9	0.9013539651837524
1	0.2	22	0.5794818179777959	0.9125	0.9162404092071611
1	0.2	17	0.30288352440795924	0.8125	0.8114035087719298
1	0.2	13	0.2696412290654179	0.7875	0.7895559724828017
1	0.2	10	0.303347953870193	0.8	0.8095238095238095
1	0.2	8	0.09433891711631068	0.675	0.6793650793650794
1	0.2	6	2.3178086902715093e-05	0.5	0.502828409805154
1	0.2	4	0.06169017042162356	0.6125	0.6433333333333333
1	0.2	3	0.01279352873828826	0.5625	0.5657894736842105
1	0.2	2	0.02891228467030152	0.6	0.5997498436522828
1	0.2	1	0.029459630263142352	0.6	0.6000000000000001
2	0.2	20000	0.5098752263900144	0.8875	0.8821495914519168
2	0.2	16000	0.46780082258032823	0.875	0.8787878787878787
2	0.2	12800	0.48816425202019004	0.8875	0.8841269841269841
2	0.2	10240	0.5761678789595837	0.9125	0.9166666666666667
2	0.2	8192	0.3964122994236444	0.85	0.8542199488491048
2	0.2	6553	0.6763812340687466	0.9375	0.9343180389692017
2	0.2	5242	0.5730247272905592	0.9125	0.9127579737335836
2	0.2	4193	0.40895044070351033	0.85	0.848030018761726
2	0.2	3354	0.4669090791286695	0.875	0.8736710444027517
2	0.2	2683	0.5730247272905592	0.9125	0.9125000000000001
2	0.2	2146	0.4685112033628516	0.875	0.8771929824561403
2	0.2	1716	0.4473771286181151	0.875	0.8710509348807222
2	0.2	1372	0.5323193085556444	0.9	0.9015873015873015
2	0.2	1097	0.42780162844315084	0.8625	0.8624999999999999
2	0.2	877	0.6773223597967153	0.9375	0.9412698412698414
2	0.2	701	0.5323193085556444	0.9	0.9015873015873015
2	0.2	560	0.4998777831168896	0.8875	0.8896920175989943
2	0.2	448	0.6636140715109399	0.9375	0.9380892520427404
2	0.2	358	0.5695090250817507	0.9	0.9092071611253196
2	0.2	286	0.6199770864278771	0.925	0.9235588972431078
2	0.2	228	0.4998777831168896	0.8875	0.8896920175989942
2	0.2	182	0.7198854706994476	0.95	0.946969696969697
2	0.2	145	0.6618922357187826	0.9375	0.9356060606060607
2	0.2	116	0.5458460172303379	0.9	0.898686679174484
2	0.2	92	0.5349004085725142	0.9	0.900562851782364
2	0.2	73	0.6020177671203532	0.9125	0.9108818011257036
2	0.2	58	0.4148727697671475	0.8625	0.8604126370083818
2	0.2	46	0.3995278748730857	0.85	0.8521303258145363
2	0.2	36	0.1648196377886057	0.725	0.7309868007542427
2	0.2	28	0.15279915767283964	0.725	0.7235772357723578
2	0.2	22	0.1052432709248637	0.6875	0.6882426516572859
2	0.2	17	0.02478939133064187	0.575	0.5933333333333334
2	0.2	13	0.015611166493187029	0.5625	0.5735009671179884
2	0.2	10	0.012135447820022904	0.5625	0.5658327847267939
2	0.2	8	0.05019498775082381	0.6125	0.6295938104448743
2	0.2	6	0.02320317900837872	0.5875	0.5896464646464646
2	0.2	4	0.004216545249043835	0.4625	0.46177944862155385
2	0.2	3	0.003027553526191419	0.525	0.5317410433689503
2	0.2	2	0.016519193098829942	0.575	0.575
2	0.2	1	0.011793543432085385	0.5625	0.5625
3	0.2	20000	0.33261171512385895	0.825	0.8250000000000001
3	0.2	16000	0.4335570694079905	0.8625	0.8570081709616594
3	0.2	12800	0.42705031925779696	0.8625	0.8648989898989898
3	0.2	10240	0.4218083280595186	0.8625	0.8626649905719673
3	0.2	8192	0.35777596254440036	0.8375	0.8371212121212122
3	0.2	6553	0.5310044064107186	0.9	0.9
3	0.2	5242	0.30323987011752884	0.8125	0.8139386189258312
3	0.2	4193	0.49338032235400175	0.8875	0.8877423389618512
3	0.2	3354	0.7131806254035316	0.95	0.9498746867167918
3	0.2	2683	0.6162584439311571	0.925	0.927143778207608
3	0.2	2146	0.22782170842419316	0.775	0.7760416666666667
3	0.2	1716	0.5700072802211975	0.9125	0.9126984126984126
3	0.2	1372	0.5821400570663748	0.9125	0.9125
3	0.2	1097	0.5079214253105757	0.875	0.8724202626641651
3	0.2	877	0.3276189547852292	0.825	0.8207070707070706
3	0.2	701	0.5129000630433627	0.8875	0.8858661663539712
3	0.2	560	0.4498213262339352	0.875	0.8721227621483375
3	0.2	448	0.599475569199749	0.9125	0.9072910119421745
3	0.2	358	0.6102430472212504	0.9	0.9245283018867925
3	0.2	286	0.6362483469885017	0.925	0.9208045254556882
3	0.2	228	0.49338032235400175	0.8875	0.8877423389618512
3	0.2	182	0.5472556674690465	0.9	0.9022556390977445
3	0.2	145	0.7025018304677217	0.95	0.9466666666666667
3	0.2	116	0.5712213522906201	0.9125	0.9128787878787878
3	0.2	92	0.6636140715109399	0.9375	0.9367167919799497
3	0.2	73	0.7223612547704225	0.95	0.9500000000000001
3	0.2	58	0.46201999253664794	0.875	0.8802083333333333
3	0.2	46	0.5712213522906201	0.9125	0.9128787878787878
3	0.2	36	0.3138845226204232	0.8125	0.8169191919191919
3	0.2	28	0.3384364605728982	0.825	0.8270676691729324
3	0.2	22	0.11916121925639087	0.7	0.7
3	0.2	17	0.006261044011765006	0.525	0.5447570332480819
3	0.2	13	0.015852353076082567	0.575	0.573934837092732
3	0.2	10	0.029459630263142352	0.6	0.601010101010101
3	0.2	8	0.09079161414770687	0.675	0.6754221388367729
3	0.2	6	0.0921986019496641	0.675	0.6760475297060664
3	0.2	4	0.022224692723001083	0.5875	0.5875547217010632
3	0.2	3	0.028626479115487182	0.5875	0.5972222222222221
3	0.2	2	0.003943336968708092	0.5375	0.536967418546366
3	0.2	1	0.04836977868460351	0.625	0.6287878787878787
4	0.2	20000	0.2737186844217537	0.775	0.775
4	0.2	16000	0.615140540301488	0.925	0.9248120300751881
4	0.2	12800	0.33077808991459673	0.825	0.8248905565978736
4	0.2	10240	0.3589922929842669	0.8375	0.8375235700817095
4	0.2	8192	0.5779844760975719	0.9125	0.9165054803352676
4	0.2	6553	0.6162584439311571	0.925	0.927143778207608
4	0.2	5242	0.5458460172303379	0.9	0.8986866791744841
4	0.2	4193	0.6034105673345365	0.9125	0.9179292929292929
4	0.2	3354	0.4591921489796445	0.875	0.8759398496240602
4	0.2	2683	0.6512297719029685	0.9125	0.9146341463414633
4	0.2	2146	0.5310044064107186	0.9	0.9
4	0.2	1716	0.6636140715109399	0.9375	0.9367167919799497
4	0.2	1372	0.529545970268906	0.9	0.8994343180389692
4	0.2	1097	0.5666187185507155	0.9125	0.9085677749360614
4	0.2	877	0.5730247272905592	0.9125	0.9125000000000001
4	0.2	701	0.6347994958940139	0.925	0.9191919191919193
4	0.2	560	0.6211945798813956	0.925	0.9255784865540964
4	0.2	448	0.6066536880036368	0.925	0.921875
4	0.2	358	0.42294208687150836	0.8625	0.8625
4	0.2	286	0.4656535485294347	0.875	0.8721804511278195
4	0.2	228	0.5347402534286947	0.9	0.9
4	0.2	182	0.5138966804862761	0.8875	0.8936507936507937
4	0.2	145	0.4593720800421406	0.875	0.8755472170106315
4	0.2	116	0.40658962857519515	0.8375	0.8510230179028134
4	0.2	92	0.5712213522906201	0.9125	0.9128787878787877
4	0.2	73	0.8557693561998521	0.975	0.9761904761904762
4	0.2	58	0.6636140715109399	0.9375	0.9367167919799497
4	0.2	46	0.5334534472677155	0.9	0.9015151515151514
4	0.2	36	0.48504170488123655	0.875	0.8799497171590196
4	0.2	28	0.307464887650839	0.8125	0.8133208255159475
4	0.2	22	0.19439737651064842	0.75	0.7479674796747966
4	0.2	17	0.029459630263142352	0.6	0.601010101010101
4	0.2	13	0.02255285969838778	0.5875	0.5844277673545967
4	0.2	10	0.03597210299379692	0.6125	0.6112507856693904
4	0.2	8	0.01100758690872202	0.5625	0.5612883051907442
4	0.2	6	0.11117181758203955	0.675	0.6888888888888889
