fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
0	0.2	20000	0.007454041280768432	0.55	0.55
0	0.2	16000	0.013262738972482221	0.565	0.5650000000000001
0	0.2	12800	0.023512589384438804	0.59	0.59
0	0.2	10240	0.02633146944289829	0.595	0.595
0	0.2	8192	0.02502637867455757	0.5925	0.5925
0	0.2	6553	0.03206740827948292	0.605	0.605
0	0.2	5242	0.061687396790750665	0.645	0.645
0	0.2	4193	0.08062361174234883	0.665	0.6649999999999999
0	0.2	3354	0.05542144149534491	0.6375	0.6375
0	0.2	2683	0.12182857364161578	0.7	0.7
0	0.2	2146	0.16108192607888566	0.73	0.7300000000000001
0	0.2	1716	0.17711395418014492	0.7425	0.7425
0	0.2	1372	0.12490721322816865	0.705	0.7050000000000001
0	0.2	1097	0.23538515172792496	0.7775	0.7775000000000001
0	0.2	877	0.1773561032467257	0.74	0.7400000000000002
0	0.2	701	0.27672081167685725	0.7975	0.7975
0	0.2	560	0.2178861307050639	0.7675	0.7675
0	0.2	448	0.2653267021782023	0.7925	0.7925
0	0.2	358	0.33519052071403654	0.825	0.8250000000000001
0	0.2	286	0.29903181479940494	0.81	0.8099999999999999
0	0.2	228	0.3494658489216711	0.8325	0.8325
0	0.2	182	0.3721881066203691	0.8425	0.8425
0	0.2	145	0.37786656324975465	0.845	0.845
0	0.2	116	0.38559348670005406	0.8475	0.8475
0	0.2	92	0.32581779680968675	0.8225	0.8225
0	0.2	73	0.38559348670005406	0.8475	0.8475
0	0.2	58	0.39819509264312497	0.8525	0.8524999999999999
0	0.2	46	0.37850177715061745	0.845	0.845
0	0.2	36	0.35501100136197844	0.835	0.835
0	0.2	28	0.32619820843865727	0.8225	0.8224999999999999
0	0.2	22	0.30449029874143324	0.8125	0.8125000000000001
0	0.2	17	0.2933415462137216	0.8075	0.8075000000000001
0	0.2	13	0.269394714730703	0.795	0.7949999999999999
0	0.2	10	0.20843111518271892	0.76	0.76
0	0.2	8	0.19290635928820912	0.7525	0.7525
0	0.2	6	0.16956554373362837	0.7375	0.7375
0	0.2	4	0.0984494912027011	0.6825	0.6825
0	0.2	3	0.07557700310972693	0.66	0.6599999999999999
0	0.2	2	0.061625297951379776	0.645	0.645
0	0.2	1	0.004621561179775003	0.54	0.54
1	0.2	20000	0.026456435861800687	0.595	0.5947398684967125
1	0.2	16000	0.05343158888647711	0.635	0.6348408710217756
1	0.2	12800	0.0011474900334153655	0.52	0.5196129903247582
1	0.2	10240	0.03367945568051129	0.6075	0.6073526838170954
1	0.2	8192	0.05157347414193741	0.6325	0.6323033075826895
1	0.2	6553	0.05018915087607381	0.63	0.6296907422685569
1	0.2	5242	0.07784781608150221	0.6625	0.6623540588514714
1	0.2	4193	0.09064516848896614	0.675	0.6748418710467762
1	0.2	3354	0.11306249699632753	0.6925	0.6921298032450813
1	0.2	2683	0.11653647783737625	0.6975	0.6973049326233155
1	0.2	2146	0.1379359434108408	0.715	0.7150428760719019
1	0.2	1716	0.23642492656278957	0.7775	0.7773569339233481
1	0.2	1372	0.2381102538138668	0.7775	0.7772819320483011
1	0.2	1097	0.2989728658223217	0.81	0.8099202480062002
1	0.2	877	0.33151015299471087	0.825	0.8249206230155753
1	0.2	701	0.24919992500077345	0.785	0.7849446236155905
1	0.2	560	0.2543671277427742	0.7875	0.7875821895547388
1	0.2	448	0.37170830294554047	0.8425	0.8424835620890523
1	0.2	358	0.3509112301577658	0.8325	0.8323333083327084
1	0.2	286	0.39694078348977657	0.8525	0.8524338108452713
1	0.2	228	0.34817073910367585	0.8325	0.8324583114577865
1	0.2	182	0.4289995571835445	0.865	0.864996624915623
1	0.2	145	0.4515519688247691	0.8725	0.8723843096077403
1	0.2	116	0.42235480406245063	0.8625	0.8624840621015525
1	0.2	92	0.3541725630755638	0.835	0.8350458761469037
1	0.2	73	0.40312826404462804	0.855	0.8549463736593416
1	0.2	58	0.3964573378993748	0.8525	0.8524838120953024
