fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
0	0.2	20000	0.5148875579457028	0.8875	0.8915776241357636
0	0.2	16000	0.495063690165685	0.8875	0.8825757575757576
0	0.2	12800	0.3225216558303605	0.825	0.8171355498721228
0	0.2	10240	0.49338032235400175	0.8875	0.8877423389618512
0	0.2	8192	0.3319932247621786	0.825	0.8258956631049654
0	0.2	6553	0.5730247272905592	0.9125	0.9125000000000001
0	0.2	5242	0.4354434035016501	0.8625	0.8694390715667311
0	0.2	4193	0.4683338583194649	0.875	0.8780641106222501
0	0.2	3354	0.2726990964219525	0.8	0.7968253968253968
0	0.2	2683	0.3602894700825402	0.8375	0.8337523570081711
0	0.2	2146	0.42780162844315084	0.8625	0.8624999999999999
0	0.2	1716	0.46780082258032823	0.875	0.8787878787878787
0	0.2	1372	0.45482292994222806	0.875	0.8712121212121213
0	0.2	1097	0.6210598372241933	0.925	0.9249999999999999
0	0.2	877	0.4843511014204235	0.875	0.8767979987492183
0	0.2	701	0.32818080310003367	0.825	0.8275181040158
0	0.2	560	0.4354434035016501	0.8625	0.8694390715667311
0	0.2	448	0.3376155462133005	0.825	0.825
0	0.2	358	0.364332469382839	0.8375	0.8389724310776943
0	0.2	286	0.4930371919776068	0.8875	0.8878446115288221
0	0.2	228	0.5002167437869923	0.8875	0.8890977443609023
0	0.2	182	0.439163472609255	0.8625	0.8652882205513784
0	0.2	145	0.42294208687150836	0.8625	0.8627267041901188
0	0.2	116	0.45625481716247623	0.875	0.8749218261413383
0	0.2	92	0.49338032235400175	0.8875	0.8875
0	0.2	73	0.3987532145992841	0.85	0.85
0	0.2	58	0.43693977120614746	0.8625	0.8689258312020461
0	0.2	46	0.495063690165685	0.8875	0.8825757575757576
0	0.2	36	0.476396073628185	0.875	0.8866666666666666
0	0.2	28	0.39225958178080705	0.85	0.8508771929824561
0	0.2	22	0.3037256807107116	0.8125	0.8120700437773608
0	0.2	17	0.4930371919776068	0.8875	0.8878446115288221
0	0.2	13	0.2696412290654179	0.7875	0.7895559724828016
0	0.2	10	0.2633819832104488	0.775	0.7831552482715273
0	0.2	8	0.11015703291317401	0.6875	0.6937340153452686
0	0.2	6	0.05604951298891949	0.6375	0.6384711779448622
0	0.2	4	0.01579476838458148	0.5875	0.5698412698412699
0	0.2	3	0.06310205002790346	0.6375	0.6452020202020201
0	0.2	2	0.05604951298891949	0.6375	0.6382113821138211
0	0.2	1	0.0033142266339549736	0.4625	0.46679197994987465
1	0.2	20000	0.22782170842419316	0.775	0.7676767676767676
1	0.2	16000	0.42591815480414624	0.8625	0.8602756892230576
1	0.2	12800	0.4669090791286695	0.875	0.8736710444027517
1	0.2	10240	0.4591921489796445	0.875	0.8759398496240602
1	0.2	8192	0.6211945798813956	0.925	0.9255784865540964
1	0.2	6553	0.45681440998369466	0.875	0.864450127877238
1	0.2	5242	0.3238575322494993	0.8125	0.814571607254534
1	0.2	4193	0.5303577691815439	0.9	0.899749373433584
1	0.2	3354	0.48226339482904423	0.875	0.8845905867182463
1	0.2	2683	0.33281752660786	0.825	0.8255159474671669
1	0.2	2146	0.4981732642137937	0.8875	0.8904761904761904
1	0.2	1716	0.5712213522906201	0.9125	0.9110622250157133
1	0.2	1372	0.3225216558303605	0.825	0.8229166666666667
1	0.2	1097	0.32766578096243365	0.825	0.8232323232323232
1	0.2	877	0.7157296005040367	0.95	0.9532587228439764
1	0.2	701	0.6210598372241933	0.925	0.9249999999999999
1	0.2	560	0.4473771286181151	0.875	0.8710509348807222
1	0.2	448	0.5779844760975719	0.9125	0.9078282828282829
1	0.2	358	0.5038516598305629	0.875	0.8667504714016342
1	0.2	286	0.42294208687150836	0.8625	0.8625
1	0.2	228	0.3830109900940706	0.85	0.8465473145780051
1	0.2	182	0.43693977120614746	0.8625	0.8689258312020461
1	0.2	145	0.36312705744064344	0.8375	0.8364602876797999
