fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
0	0.2	20000	0.5433092468918429	0.9	0.8956631049654306
0	0.2	16000	0.5957213246649925	0.9125	0.9031746031746031
0	0.2	12800	0.28408939424313334	0.8	0.8020050125313283
0	0.2	10240	0.5129000630433627	0.8875	0.8858661663539712
0	0.2	8192	0.5002167437869923	0.8875	0.8890977443609023
0	0.2	6553	0.6144525959890871	0.925	0.9245757385292268
0	0.2	5242	0.8558231715573832	0.975	0.975609756097561
0	0.2	4193	0.40187534301367656	0.8625	0.8598881900768693
0	0.2	3354	0.6034105673345365	0.9125	0.9140087554721701
0	0.2	2683	0.7610260716417298	0.95	0.95
0	0.2	2146	0.7215426993401048	0.95	0.9520202020202022
0	0.2	1716	0.5349004085725142	0.9	0.900562851782364
0	0.2	1372	0.5342588628972417	0.9	0.9013199245757386
0	0.2	1097	0.58155339354956	0.9125	0.9154040404040403
0	0.2	877	0.5806690707171202	0.9125	0.9104010025062657
0	0.2	701	0.7119030558648692	0.95	0.9494949494949496
0	0.2	560	0.6177855880564641	0.925	0.9271099744245526
0	0.2	448	0.5730247272905592	0.9125	0.9127579737335836
0	0.2	358	0.6641015990193396	0.9375	0.9371482176360226
0	0.2	286	0.5347402534286947	0.9	0.9
0	0.2	228	0.5727256286045284	0.9125	0.9129072681704261
0	0.2	182	0.4913117571219964	0.8875	0.8876262626262625
0	0.2	145	0.5400496795171746	0.8875	0.8916040100250626
0	0.2	116	0.7605962124328551	0.95	0.9487179487179487
0	0.2	92	0.9152293653685537	0.9875	0.986842105263158
0	0.2	73	0.5250937399810326	0.9	0.8976982097186701
0	0.2	58	0.38984066066301354	0.85	0.8538512179065174
0	0.2	46	0.14375960143607086	0.725	0.7186700767263429
0	0.2	36	0.024479825332149714	0.5875	0.5908521303258145
0	0.2	28	0.0016854219743180254	0.525	0.524198617221873
0	0.2	22	0.0330636150226368	0.6	0.6060606060606062
0	0.2	17	0.050284241384942224	0.625	0.6290726817042607
0	0.2	13	0.04556599707503445	0.625	0.625
0	0.2	10	0.02193939158606136	0.5875	0.5856785490931832
0	0.2	8	0.03178615825324859	0.6	0.6
0	0.2	6	0.0905981267292747	0.675	0.6749999999999999
0	0.2	4	0.0034961626641824605	0.5375	0.5344611528822055
0	0.2	3	0.023457896474894564	0.5875	0.5898805782526713
0	0.2	2	0.011204066298942621	0.55	0.5606060606060606
0	0.2	1	4.904464725165288e-06	0.4875	0.4987373737373738
1	0.2	20000	0.4218083280595186	0.8625	0.8626649905719673
1	0.2	16000	0.5323193085556444	0.9	0.8975487115022
1	0.2	12800	0.7613684016592388	0.95	0.9523809523809523
1	0.2	10240	0.3540881825029072	0.8375	0.8356777493606138
1	0.2	8192	0.6383273308457225	0.925	0.9237023139462164
1	0.2	6553	0.7215808693088077	0.9375	0.9418604651162791
1	0.2	5242	0.6591367409540075	0.9375	0.9341432225063938
1	0.2	4193	0.39167360662207334	0.85	0.851037083595223
1	0.2	3354	0.3830109900940706	0.85	0.846547314578005
1	0.2	2683	0.6393544226150355	0.925	0.9283469516027656
1	0.2	2146	0.5415419657074463	0.9	0.893939393939394
1	0.2	1716	0.5400496795171746	0.8875	0.8968253968253969
1	0.2	1372	0.5684761779252182	0.9125	0.9124040920716112
1	0.2	1097	0.572125680191365	0.9125	0.9116541353383459
1	0.2	877	0.6122280959492014	0.925	0.9238095238095239
1	0.2	701	0.6780232380036869	0.9375	0.9365228267667292
1	0.2	560	0.6155516794407244	0.925	0.924953095684803
1	0.2	448	0.5323193085556444	0.9	0.8975487115022
1	0.2	358	0.5470996464588718	0.9	0.9011882426516572
1	0.2	286	0.6780232380036869	0.9375	0.9406565656565657
1	0.2	228	0.572125680191365	0.9125	0.9129478315524827
1	0.2	182	0.5666187185507155	0.9125	0.9119922630560928
1	0.2	145	0.6206548097997153	0.925	0.9264613450659963
1	0.2	116	0.5403620538972798	0.8875	0.8952020202020201
1	0.2	92	0.5290360503292428	0.9	0.8952380952380953
1	0.2	73	0.4981732642137937	0.8875	0.8904761904761904
1	0.2	58	0.551943307275116	0.9125	0.9016227180527383
1	0.2	46	0.9152293653685537	0.9875	0.9883720930232558
1	0.2	36	0.49296042273201024	0.8875	0.890625
1	0.2	28	0.38662827891692675	0.8375	0.8446969696969697
1	0.2	22	0.3130469322430408	0.8125	0.8174603174603176
1	0.2	17	0.018168120272310025	0.5625	0.5741671904462602
1	0.2	13	0.0916143452113681	0.675	0.6767676767676768
1	0.2	10	0.007250348462615493	0.45	0.45
1	0.2	8	0.001945239953493216	0.5375	0.5253968253968254
1	0.2	6	0.03712583993374535	0.6125	0.6124999999999999
1	0.2	4	0.016811176572295587	0.575	0.5750000000000001
1	0.2	3	0.0003362462568225847	0.5125	0.5106316447779863
1	0.2	2	0.0022216826427978896	0.525	0.5275689223057645
1	0.2	1	0.015480767832086509	0.5	0.5659340659340659
2	0.2	20000	0.5334534472677155	0.9	0.9015151515151514
2	0.2	16000	0.5458460172303379	0.9	0.9047619047619048
